Name,PS1id,syn_g,syn_g_err,ps1_g,ps1_g_err,syn_r,syn_r_err,ps1_r,ps1_r_err,syn_i,syn_i_err,ps1_i,ps1_i_err,syn_z,syn_z_err,ps1_z,ps1_z_err
SDSSJ010322,1.0758E+17,19.093,10,19.12,5,19.57,19,19.563,5,19.979,17,19.933,5,20.13,64,20.209,7
SDSSJ022817,9.78504E+16,19.837,14,19.827,11,20.188,53,20.163,6,20.523,36,20.477,7,20.803,117,20.728,10
SDSSJ024854,1.4851E+17,18.351,7,18.392,8,18.699,6,18.74,5,18.972,12,19.052,3,19.198,31,19.296,5
SDSSJ072752,1.46681E+17,18.018,10,18.026,3,18.475,11,18.45,2,18.806,12,18.809,2,19.127,24,19.079,3
SDSSJ081508,1.17031E+17,19.781,40,19.747,5,20.328,37,20.18,6,20.625,73,20.547,7,20.71,165,20.823,7
SDSSJ102430,1.07352E+17,18.885,9,18.936,9,19.292,23,19.311,7,19.44,98,19.641,12,19.758,31,19.896,18
SDSSJ111059,8.74017E+16,17.895,5,17.889,2,18.302,9,18.307,2,18.607,15,18.664,2,18.957,26,18.934,3
SDSSJ111127,1.55932E+17,18.412,15,18.456,3,18.886,11,18.929,3,19.26,11,19.319,3,19.586,16,19.607,3
SDSSJ120650,1.10432E+17,18.693,10,18.691,4,19.096,29,19.056,5,19.388,24,19.388,6,19.645,34,19.648,7
SDSSJ121405,1.62762E+17,17.779,5,17.787,4,18.236,7,18.229,3,18.57,10,18.605,2,18.849,17,18.89,3
SDSSJ130234,1.20252E+17,17.052,3,17.066,3,17.494,3,17.505,2,17.858,6,17.877,2,18.114,9,18.157,3
SDSSJ131445,1.04112E+17,19.078,14,19.13,7,19.556,21,19.562,6,19.887,40,19.928,4,20.24,69,20.203,6
SDSSJ151421,1.08952E+17,15.72,2,15.729,4,16.101,4,16.11,2,16.434,2,16.448,2,16.715,5,16.712,2
SDSSJ155745,1.74922E+17,17.487,5,17.505,2,17.958,7,17.978,2,18.356,5,18.367,2,18.647,11,18.656,3
SDSSJ163800,1.08942E+17,18.86,13,18.864,6,19.314,22,19.277,4,19.611,13,19.627,4,19.816,53,19.891,5
SDSSJ181424,2.02683E+17,16.573,5,16.568,2,17.007,3,16.999,1,17.358,4,17.369,2,17.651,9,17.65,2
SDSSJ210150,1.01083E+17,18.652,9,18.677,6,19.052,8,19.056,3,19.41,18,19.393,4,19.703,33,19.655,6
SDSSJ232941,1.08224E+17,18.134,6,18.163,6,18.452,5,18.468,5,18.772,8,18.762,4,19.003,17,19,5
SDSSJ235144,1.53514E+17,18.085,4,18.099,6,18.447,13,18.45,4,18.776,10,18.764,3,19.1,36,19.01,4
GD153,1.34432E+17,13.134,7,13.128,13.598,1,13.591,13.99,11,13.978,14.261,2,14.263,,,,